PKNAME,LAT,LONG,
Annapurna I,28.596111,83.820274,
Api Main,30.0041667,80.9333333,
Dhaulagiri I,28.6985,83.4873,
Everest,27.986065,86.922623,
Ganesh I,28.3917,85.1275,
Gaurishankar,27.95,86.3333,
Jongsang,27.8816,88.1352,
Kangchenjunga,27.7025,88.1475,
Kanjiroba South,29.231981,82.873481,
Langtang Lirung,28.256329,85.517125,
Leonpo Gang,28.1955556,85.8019444,
Makalu,27.88931,87.08862,
Manaslu,28.549444,84.561943,
Nemjung,28.736493,84.417567,
Saipal,29.887319,81.492732,
Sita Chuchura,28.782231,83.482993,
Kanti Himal,29.7663889,82.7536111,
Janak Chuli,27.8716667,88.0933333,
Lachama Chuli,30.1363889,82.2005556,
Lugula,28.8963889,84.2597222,